XBTEUR Curncy;
Date;PX_LAST
22/12/14;270,985
23/12/14;274,8448
24/12/14;268,2137
25/12/14;261,5354
26/12/14;271,4932
29/12/14;260,615
30/12/14;259,075
31/12/14;262,4548
1/01/15;263,605
2/01/15;264,2144
5/01/15;227,5786
6/01/15;233,445
7/01/15;245,9181
8/01/15;248,7693
9/01/15;243,8678
12/01/15;229,985
13/01/15;199,17
14/01/15;157,896
15/01/15;187,9526
16/01/15;182,2607
19/01/15;184,4363
20/01/15;186,4128
21/01/15;186,545
22/01/15;206,635
23/01/15;208,5123
26/01/15;235,3543
27/01/15;236,1151
28/01/15;227,0262
29/01/15;204,5355
30/01/15;203,83
2/02/15;201,1245
3/02/15;209,1688
4/02/15;196,6589
5/02/15;192,5732
6/02/15;197,6398
9/02/15;193,6102
10/02/15;194,5679
11/02/15;196,6898
12/02/15;195,924
13/02/15;203,645
16/02/15;207,5981
17/02/15;214,3996
18/02/15;207,9436
19/02/15;211,925
20/02/15;214,1356
23/02/15;209,3093
24/02/15;210,1902
25/02/15;210,1186
26/02/15;211,35
27/02/15;222,62
2/03/15;235,7323
3/03/15;243,5992
4/03/15;255,015
5/03/15;242,8386
6/03/15;249,4742
9/03/15;263,2881
10/03/15;275,8148
11/03/15;278,7699
12/03/15;280,9561
13/03/15;275,2849
16/03/15;276,2104
17/03/15;272,095
18/03/15;254,335
19/03/15;250,6395
20/03/15;244,5206
23/03/15;245,9112
24/03/15;228,6995
25/03/15;225,9532
26/03/15;233,041
27/03/15;229,1995
30/03/15;228,1916
31/03/15;228,9019
1/04/15;226,235
2/04/15;231,24
3/04/15;231,46
6/04/15;233,608
7/04/15;234,6368
8/04/15;227,595
9/04/15;229,005
10/04/15;223,25
13/04/15;222,7844
14/04/15;206,135
15/04/15;209,6854
16/04/15;214,4368
17/04/15;208,26
20/04/15;208,8738
21/04/15;209,17
22/04/15;219,8014
23/04/15;217,1852
24/04/15;213,0645
27/04/15;207
28/04/15;206,8043
29/04/15;203,511
30/04/15;209,4546
1/05/15;209,6986
4/05/15;214
5/05/15;209,7784
6/05/15;208,07
7/05/15;207,0639
8/05/15;215,845
11/05/15;216,5297
12/05/15;214,7471
13/05/15;214,0654
14/05/15;208,0065
15/05/15;207,5447
18/05/15;206,3954
19/05/15;207,8378
20/05/15;209,3937
21/05/15;209,8809
22/05/15;214,3463
25/05/15;211,9145
26/05/15;214,25
27/05/15;213,9775
28/05/15;215,6114
29/05/15;213,1765
1/06/15;205,8203
2/06/15;203,81
3/06/15;202,5882
4/06/15;200,375
5/06/15;201,3213
8/06/15;201,7365
9/06/15;203,155
10/06/15;201,625
11/06/15;201,7725
12/06/15;203,225
15/06/15;207,715
16/06/15;216,75
17/06/15;219,5111
18/06/15;218,29
19/06/15;215,39
22/06/15;215,6
23/06/15;216,7926
24/06/15;215,475
25/06/15;215,7744
26/06/15;215,6874
29/06/15;228,7449
30/06/15;237,3798
1/07/15;234,185
2/07/15;230,025
3/07/15;230,055
6/07/15;247,215
7/07/15;244,3847
8/07/15;246,1424
9/07/15;245,2678
10/07/15;258,2999
13/07/15;261,63
14/07/15;263,9199
15/07/15;264,995
16/07/15;253,0996
17/07/15;255,6613
20/07/15;253,97
21/07/15;254,244
22/07/15;254,0228
23/07/15;251,032
24/07/15;259,4706
27/07/15;259,455
28/07/15;266,0991
29/07/15;262,3763
30/07/15;263,2113
31/07/15;260,2899
3/08/15;261,6549
4/08/15;259,8649
5/08/15;261,3652
6/08/15;255,9749
7/08/15;256,7449
10/08/15;240,895
11/08/15;241,375
12/08/15;241,2605
13/08/15;239,8248
14/08/15;241,2549
17/08/15;235,9787
18/08/15;232,55
19/08/15;214,324
20/08/15;210,045
21/08/15;206,855
24/08/15;192,4745
25/08/15;197,7156
26/08/15;203,5949
27/08/15;203,645
28/08/15;209,42
31/08/15;206,3751
1/09/15;203,5305
2/09/15;204,8746
3/09/15;204,7101
4/09/15;207,39
7/09/15;215,5049
8/09/15;217,3601
9/09/15;215,245
10/09/15;213,2002
11/09/15;212,6545
14/09/15;205,385
15/09/15;205,3866
16/09/15;202,39
17/09/15;208,53
18/09/15;206,465
21/09/15;203,49
22/09/15;207,15
23/09/15;206,17
24/09/15;207,89
25/09/15;208,845
28/09/15;211,54
29/09/15;211,345
30/09/15;210,515
9/10/15;214,855
12/10/15;217,135
13/10/15;218,6623
14/10/15;221,775
15/10/15;223,9213
16/10/15;228,4307
19/10/15;233,6003
20/10/15;234,075
21/10/15;235,7159
22/10/15;244,8705
23/10/15;250,26
26/10/15;256,7198
27/10/15;266,235
28/10/15;268,8597
29/10/15;282,1799
30/10/15;291,4749
2/11/15;307,8267
3/11/15;374,885
4/11/15;442,646
5/11/15;361,6389
6/11/15;340,4901
9/11/15;346,845
10/11/15;331,9398
11/11/15;290,4919
12/11/15;305,8499
13/11/15;309,9827
16/11/15;309,4854
17/11/15;314,7839
18/11/15;313,9667
19/11/15;306,4849
20/11/15;302,2148
23/11/15;306,3597
24/11/15;303,4048
25/11/15;306,6749
26/11/15;328,6449
27/11/15;339,4399
30/11/15;352,595
1/12/15;339,2773
2/12/15;341,5299
3/12/15;335,1073
4/12/15;334,3048
7/12/15;362,4648
8/12/15;362,4054
9/12/15;375,7649
10/12/15;379,58
11/12/15;402,7499
14/12/15;403,434
15/12/15;416,3523
16/12/15;416,2799
17/12/15;416,6177
18/12/15;422,345
21/12/15;400,6749
22/12/15;397,855
23/12/15;403,0754
24/12/15;414,605
25/12/15;414,0972
28/12/15;387,255
29/12/15;394,8298
30/12/15;390,9045
31/12/15;395,7887
1/01/16;399,3999
4/01/16;399,65
5/01/16;401,875
6/01/16;400,8499
7/01/16;418,7249
8/01/16;415,9049
11/01/16;413,7019
12/01/16;414,1598
13/01/16;397,9824
14/01/16;399,5249
15/01/16;357,9966
18/01/16;356,8148
19/01/16;351,1349
20/01/16;373,7799
21/01/16;377,87
22/01/16;351,8291
25/01/16;362,9873
26/01/16;364,9863
27/01/16;364,115
28/01/16;351,5302
29/01/16;348,5349
1/02/16;344,485
2/02/16;342,615
3/02/16;334,7601
4/02/16;344,9572
5/02/16;345,5449
8/02/16;335,903
9/02/16;331,692
10/02/16;336,8209
11/02/16;331,7474
12/02/16;338,468
15/02/16;359,5913
16/02/16;366,2314
17/02/16;373,2278
18/02/16;376,6154
19/02/16;375,3649
22/02/16;393,1919
23/02/16;379,4214
24/02/16;383,8174
25/02/16;382,4554
26/02/16;387,5143
29/02/16;399,3298
1/03/16;396,564
2/03/16;394,975
3/03/16;385,2743
4/03/16;373,7914
7/03/16;371,3994
8/03/16;372,485
9/03/16;375,325
10/03/16;372,4745
11/03/16;375,5199
14/03/16;371,4984
15/03/16;373,84
16/03/16;374,7499
17/03/16;371,6205
18/03/16;360,6079
21/03/16;365,5469
22/03/16;370,6599
23/03/16;372,34
24/03/16;373,302
25/03/16;372,7699
28/03/16;376,8789
29/03/16;368,2024
30/03/16;364,9449
31/03/16;368,6593
1/04/16;367,3545
4/04/16;368,2148
5/04/16;371,4069
6/04/16;370,99
7/04/16;372,2224
8/04/16;369,1024
11/04/16;370,5469
12/04/16;374,876
13/04/16;375,8744
14/04/16;376,7098
15/04/16;381,0054
18/04/16;377,3369
19/04/16;377,87
20/04/16;389,7129
21/04/16;393,0698
22/04/16;397,1844
25/04/16;409,8009
26/04/16;414,5204
27/04/16;404,0199
28/04/16;395,6144
29/04/16;398,4304
2/05/16;385,0884
3/05/16;389,0994
4/05/16;390,4309
5/05/16;393,5234
6/05/16;404,1425
9/05/16;407,177
10/05/16;400,2834
11/05/16;397,871
12/05/16;397,0134
13/05/16;403,6139
16/05/16;402,9448
17/05/16;402,6934
18/05/16;403,7999
19/05/16;399,6694
20/05/16;394,2419
23/05/16;393,8799
24/05/16;399,2279
25/05/16;401,5393
26/05/16;404,5099
27/05/16;422,9889
30/05/16;477,7639
31/05/16;476,5084
1/06/16;476,4054
2/06/16;480,4703
3/06/16;506,0204
6/06/16;514,1599
7/06/16;501,8098
8/06/16;508,99
9/06/16;509,3999
10/06/16;515,8049
